# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
5.761768e+02           4.268945e+02           3.30e-03               4.70e-03               4.00e-04               4.00e-04               1.10e-03               5.00e-04               5.00e-04               
1.682456e+03           1.190063e+03           1.67e-01               1.01e-01               1.99e-02               1.56e-02               5.38e-02               3.56e-02               1.63e-02               
5.408986e+02           3.089751e+02           5.30e-03               4.40e-03               2.00e-04               5.00e-04               1.00e-03               4.00e-04               5.00e-04               
1.803793e+03           3.379415e+02           3.69e-01               4.34e-01               2.26e-01               2.81e-01               1.81e-01               1.04e-01               1.36e-01               
1.075687e+03           2.099865e+02           1.80e-01               1.80e-01               3.03e-02               4.71e-02               8.40e-02               6.05e-02               3.36e-02               
1.006555e+03           8.173743e+02           1.38e-02               1.90e-02               2.90e-03               1.40e-03               4.10e-03               3.00e-03               1.70e-03               
1.050405e+03           9.228685e+02           1.03e-02               1.63e-02               2.30e-03               4.00e-04               1.30e-03               1.00e-03               5.00e-04               
2.055220e+03           3.497169e+02           3.96e-01               4.67e-01               2.64e-01               2.96e-01               1.83e-01               1.02e-01               1.37e-01               
1.286576e+03           1.243765e+03           1.45e-02               1.92e-02               4.30e-03               4.00e-04               4.00e-04               2.00e-04               2.00e-04               
1.266377e+03           8.296076e+02           9.73e-02               6.15e-02               1.16e-02               1.22e-02               3.69e-02               2.47e-02               1.44e-02               
1.573419e+03           1.372568e+03           2.10e-02               2.93e-02               6.20e-03               2.20e-03               5.60e-03               4.10e-03               2.40e-03               
1.040409e+03           9.206704e+01           1.78e-01               1.79e-01               3.78e-02               5.70e-02               9.89e-02               5.43e-02               5.27e-02               
1.589481e+03           7.829558e+02           3.16e-01               3.34e-01               1.08e-01               9.67e-02               1.56e-01               8.51e-02               7.55e-02               
2.022807e+03           1.473209e+03           2.32e-01               1.62e-01               3.17e-02               2.55e-02               7.85e-02               4.69e-02               2.65e-02               
1.683037e+03           7.871465e+02           3.52e-01               3.90e-01               1.62e-01               1.44e-01               1.76e-01               9.60e-02               9.62e-02               
1.572400e+03           1.145472e+03           1.04e-01               6.09e-02               1.18e-02               9.90e-03               3.55e-02               2.50e-02               1.17e-02               
1.442646e+03           1.412120e+03           1.71e-02               1.98e-02               4.60e-03               4.00e-04               1.10e-03               7.00e-04               3.00e-04               
8.752026e+02           2.439842e+01           1.16e-01               9.30e-02               1.16e-02               2.19e-02               5.56e-02               3.08e-02               2.12e-02               
1.726198e+03           1.126656e+03           2.55e-01               2.05e-01               4.12e-02               3.46e-02               1.01e-01               5.95e-02               3.64e-02               
1.962212e+03           2.307363e+02           3.69e-01               4.45e-01               2.41e-01               2.86e-01               1.73e-01               1.02e-01               1.36e-01               
6.720300e+02           6.056291e+02           7.70e-03               8.10e-03               1.00e-03               2.00e-04               5.00e-04               2.00e-04               1.00e-04               
1.534163e+03           9.621184e+02           2.12e-01               1.54e-01               2.87e-02               2.66e-02               8.31e-02               5.17e-02               2.75e-02               
